"","Date","JWL.BO.Close"
"2022-05-04",2022-05-04,54.6500015258789
"2022-05-05",2022-05-05,53.1500015258789
"2022-05-06",2022-05-06,53.0499992370605
"2022-05-09",2022-05-09,50.1500015258789
"2022-05-10",2022-05-10,49.3499984741211
"2022-05-11",2022-05-11,49.4500007629395
"2022-05-12",2022-05-12,45.4000015258789
"2022-05-13",2022-05-13,49.75
"2022-05-16",2022-05-16,54.0999984741211
"2022-05-17",2022-05-17,53.75
"2022-05-18",2022-05-18,54.1500015258789
"2022-05-19",2022-05-19,55.5
"2022-05-20",2022-05-20,56.8499984741211
"2022-05-23",2022-05-23,63.3499984741211
"2022-05-24",2022-05-24,61.4000015258789
"2022-05-25",2022-05-25,55.5999984741211
"2022-05-26",2022-05-26,56.7000007629395
"2022-05-27",2022-05-27,59.0499992370605
"2022-05-30",2022-05-30,58.5
"2022-05-31",2022-05-31,56.0999984741211
"2022-06-01",2022-06-01,56.25
"2022-06-02",2022-06-02,58.25
"2022-06-03",2022-06-03,57.25
"2022-06-06",2022-06-06,61.2999992370605
"2022-06-07",2022-06-07,61.9000015258789
"2022-06-08",2022-06-08,60.5
"2022-06-09",2022-06-09,58.4000015258789
"2022-06-10",2022-06-10,58.25
"2022-06-13",2022-06-13,56.4000015258789
"2022-06-14",2022-06-14,57.5499992370605
"2022-06-15",2022-06-15,57.4000015258789
"2022-06-16",2022-06-16,53.1500015258789
"2022-06-17",2022-06-17,51.5999984741211
"2022-06-20",2022-06-20,46.25
"2022-06-21",2022-06-21,51.5
"2022-06-22",2022-06-22,50.1500015258789
"2022-06-23",2022-06-23,53.5499992370605
"2022-06-24",2022-06-24,52.9500007629395
"2022-06-27",2022-06-27,53.7999992370605
"2022-06-28",2022-06-28,53
"2022-06-29",2022-06-29,51.9000015258789
"2022-06-30",2022-06-30,55.0499992370605
"2022-07-01",2022-07-01,55.5999984741211
"2022-07-04",2022-07-04,61.7000007629395
"2022-07-05",2022-07-05,57.75
"2022-07-06",2022-07-06,63.5
"2022-07-07",2022-07-07,64.0999984741211
"2022-07-08",2022-07-08,62.25
"2022-07-11",2022-07-11,63
"2022-07-12",2022-07-12,60.7000007629395
"2022-07-13",2022-07-13,61.0999984741211
"2022-07-14",2022-07-14,59.5499992370605
"2022-07-15",2022-07-15,58.6500015258789
"2022-07-18",2022-07-18,60.7000007629395
"2022-07-19",2022-07-19,60.9500007629395
"2022-07-20",2022-07-20,59.4000015258789
"2022-07-21",2022-07-21,60
"2022-07-22",2022-07-22,59.3499984741211
"2022-07-25",2022-07-25,59.5
"2022-07-26",2022-07-26,58.8499984741211
"2022-07-27",2022-07-27,59.0999984741211
"2022-07-28",2022-07-28,58.9500007629395
"2022-07-29",2022-07-29,58.75
"2022-08-01",2022-08-01,59.0499992370605
"2022-08-02",2022-08-02,61.0999984741211
"2022-08-03",2022-08-03,59.9000015258789
"2022-08-04",2022-08-04,58.9500007629395
"2022-08-05",2022-08-05,58.5
"2022-08-08",2022-08-08,58.7000007629395
"2022-08-10",2022-08-10,60.7999992370605
"2022-08-11",2022-08-11,62.75
"2022-08-12",2022-08-12,61.3499984741211
"2022-08-16",2022-08-16,59.75
"2022-08-17",2022-08-17,60.4000015258789
"2022-08-18",2022-08-18,60.0499992370605
"2022-08-19",2022-08-19,59.7000007629395
"2022-08-22",2022-08-22,57.7000007629395
"2022-08-23",2022-08-23,60.25
"2022-08-24",2022-08-24,70
"2022-08-25",2022-08-25,68.1500015258789
"2022-08-26",2022-08-26,74.4000015258789
"2022-08-29",2022-08-29,78
"2022-08-30",2022-08-30,79.8000030517578
"2022-09-01",2022-09-01,79.6500015258789
"2022-09-02",2022-09-02,78.4000015258789
"2022-09-05",2022-09-05,77.9499969482422
"2022-09-06",2022-09-06,74.8000030517578
"2022-09-07",2022-09-07,83.4499969482422
"2022-09-08",2022-09-08,81.5500030517578
"2022-09-09",2022-09-09,80.5999984741211
"2022-09-12",2022-09-12,80.8499984741211
"2022-09-13",2022-09-13,78.1999969482422
"2022-09-14",2022-09-14,75.5999984741211
"2022-09-15",2022-09-15,74.1500015258789
"2022-09-16",2022-09-16,73.25
"2022-09-19",2022-09-19,73.9000015258789
"2022-09-20",2022-09-20,76.1999969482422
"2022-09-21",2022-09-21,76.6999969482422
"2022-09-22",2022-09-22,75.0999984741211
"2022-09-23",2022-09-23,73.5999984741211
"2022-09-26",2022-09-26,69.9499969482422
"2022-09-27",2022-09-27,69.25
"2022-09-28",2022-09-28,70.8000030517578
"2022-09-29",2022-09-29,69.8000030517578
"2022-09-30",2022-09-30,73.1500015258789
"2022-10-03",2022-10-03,72
"2022-10-04",2022-10-04,71.6999969482422
"2022-10-06",2022-10-06,74.9499969482422
"2022-10-07",2022-10-07,75.5
"2022-10-10",2022-10-10,74.5999984741211
"2022-10-11",2022-10-11,72.8499984741211
"2022-10-12",2022-10-12,72.8499984741211
"2022-10-13",2022-10-13,72.0999984741211
"2022-10-14",2022-10-14,73.3000030517578
"2022-10-17",2022-10-17,73.6999969482422
"2022-10-18",2022-10-18,72.0999984741211
"2022-10-19",2022-10-19,74.0999984741211
"2022-10-20",2022-10-20,74.4499969482422
"2022-10-21",2022-10-21,73.5999984741211
"2022-10-24",2022-10-24,76.0999984741211
"2022-10-25",2022-10-25,75.6500015258789
"2022-10-27",2022-10-27,75.9499969482422
"2022-10-28",2022-10-28,74.8499984741211
"2022-10-31",2022-10-31,73.25
"2022-11-01",2022-11-01,72.8499984741211
"2022-11-02",2022-11-02,72.5
"2022-11-03",2022-11-03,73
"2022-11-04",2022-11-04,72.6999969482422
"2022-11-07",2022-11-07,73.4499969482422
"2022-11-09",2022-11-09,77.0999984741211
"2022-11-10",2022-11-10,79.25
"2022-11-11",2022-11-11,78.4000015258789
"2022-11-14",2022-11-14,80.8000030517578
"2022-11-15",2022-11-15,78.5999984741211
"2022-11-16",2022-11-16,77.75
"2022-11-17",2022-11-17,77.8000030517578
"2022-11-18",2022-11-18,81.5
"2022-11-21",2022-11-21,78.9499969482422
"2022-11-22",2022-11-22,79.3000030517578
"2022-11-23",2022-11-23,81
"2022-11-24",2022-11-24,80.75
"2022-11-25",2022-11-25,79.9000015258789
"2022-11-28",2022-11-28,83.8499984741211
"2022-11-29",2022-11-29,88
"2022-11-30",2022-11-30,86.25
"2022-12-01",2022-12-01,82.9000015258789
"2022-12-02",2022-12-02,83.25
"2022-12-05",2022-12-05,87.4000015258789
